No.,Time,Source,Destination,Protocol,Length,Info
19492,10.125985,10.0.1.3,10.0.1.2,TCP,54,"9739  >  42651 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19493,10.1260095,10.0.1.3,10.0.1.2,TCP,54,"9735  >  34363 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19494,10.1260097,10.0.1.3,10.0.1.2,TCP,54,"9737  >  38169 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19495,10.1260098,10.0.1.3,10.0.1.2,TCP,54,"9740  >  33455 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19496,10.1313509,10.0.1.2,10.0.1.3,TCP,74,46033  >  9741 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002481 TSecr=0 WS=128
19497,10.1317145,10.0.1.2,10.0.1.3,TCP,74,42429  >  9743 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002481 TSecr=0 WS=128
19498,10.1317374,10.0.1.3,10.0.1.2,TCP,54,"9741  >  46033 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19499,10.1317965,10.0.1.3,10.0.1.2,TCP,54,"9743  >  42429 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19500,10.1322658,10.0.1.2,10.0.1.3,TCP,74,39963  >  9742 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002482 TSecr=0 WS=128
19501,10.132428,10.0.1.3,10.0.1.2,TCP,54,"9742  >  39963 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19502,10.132799,10.0.1.2,10.0.1.3,TCP,74,36687  >  9745 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002482 TSecr=0 WS=128
19503,10.1329678,10.0.1.3,10.0.1.2,TCP,54,"9745  >  36687 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19504,10.1332012,10.0.1.2,10.0.1.3,TCP,74,44427  >  9746 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002483 TSecr=0 WS=128
19505,10.1333632,10.0.1.3,10.0.1.2,TCP,54,"9746  >  44427 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19506,10.1335986,10.0.1.2,10.0.1.3,TCP,74,37311  >  9747 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002483 TSecr=0 WS=128
19507,10.1337417,10.0.1.3,10.0.1.2,TCP,54,"9747  >  37311 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19508,10.1340194,10.0.1.2,10.0.1.3,TCP,74,39701  >  9744 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002483 TSecr=0 WS=128
19509,10.1341053,10.0.1.3,10.0.1.2,TCP,54,"9744  >  39701 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19510,10.1345028,10.0.1.2,10.0.1.3,TCP,74,44635  >  9748 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002484 TSecr=0 WS=128
19511,10.1345795,10.0.1.3,10.0.1.2,TCP,54,"9748  >  44635 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
